day_pk,day_sk,title,symbol,description_0,description_1
11,11,-,"Лабиринт, Корона, Огненный меч","#MAIN
11-й Лунный день издавна считается днем пробуждения энергетических резервов человека, энергетика дня очень сильная и настраивает на работу. По древнеиндийской традиции этот день связан с пробуждением энергии Кундалини, поэтому у людей практикующих медитации, у верующих, сегодня возможен переход на следующий уровень развития, озарение, вдохновения или творческий полет. Энергетика сегодняшнего дня громадна, и она может быть как созидающей, так и разрушающей. В 11-й Лунный день человек выплескивает наружу все то что он из себя представляет,  показывает свое истинное лицо и натуру, сегодня трудно что то скрыть и спрятаться под маской. У людей которых нету четкого плана или цели возможно будет «заносить» в разные стороны, поэтому нужно самим взять под контроль, и управлять этой энергией, а не чтобы она управляла вами. Эмоции в такой день имеют большую силу, и зависят от зрелости, и мудрости человека. У людей которые совершенно не занимаются своим саморазвитием, или которые наоборот развиваются в обратную сторону, может нахлынуть уныние. У состоятельных людей которые ведут пассивный образ жизни и не развиваются, может появится страх что они могут остаться без средств существования. Нереализованная энергия в этот день может преобразоваться в различные страхи и фобии.
#RELATION
День сегодня отлично подходит для романтики и страсти. Это день раскрепощения и веселья. Но брак сегодня заключать не стоит, он будет страстным, бурным, но не долгим. День хорош для любовных подвигов. Так же это один из лучших дней для зачатия ребенка.
#HOME
Хороший день для любых дел по дому, силы позволят многое сделать и реализовать. Если вы затеяли ремонт квартиры или у вас идет строительство, то сегодня можно запросто сделать двойную норму.
#HEALTH
По древнеиндийской традиции сегодня день голодания, который позволит не только улучшить здоровье но и улучшить духовное развитие. День хорош для лечения бронхов и верхних дыхательных путей. Дыхательные лечебные практики, будут иметь особую силу исцеления.  Сегодня особо чувствителен живот и позвоночник, постарайтесь избегать нагрузки на спину.
#BUSINESS
Сегодня хорошо будет удаваться практически все за что вы не возьметесь, но особенно намеченные планы, они будут очень хорошо продвигаться. В финансовом плане также будет все положительно.","#MAIN
11 лунный день. Очень сильная энергетика у этих суток. С этой энергетикой нужно быть поосторожнее."
12,12,-,Сердце или чаша Грааля ,"#MAIN
Энергетика дня предрасполагает делать добро окружающим и ближним. Сегодня, необходимо как можно больше проявлять милосердие и сострадание, делать пожертвования и заниматься разной благотворительностью.  Дарите всем радость,  надежду и вдохновение. Очень полезно подавать милостыню.  Это день альтруизма, снисхождения, молитв, и осмысления своего места в нашем мире. В плане эзотерики 12-й Лунный день, называют днем вербальной магии. Желания которые вы попросите, непременно сбудутся. Главное нужно соблюдать необходимые условия, ваши желания не должны принести вред окружающим. В двенадцатые лунные сутки довольно сильно усиливается интуиция. Что может привести к возможным проявлениям тонкого мира (образы видений). На многие вопросы может ответь медитация. Хорошее время прислушаться к зову своей души , дайте ей то что она хочет не взирая на обстоятельства и внутренние барьеры разума. Ведь душевный комфорт залог крепкого здоровья и благополучия. Плохой приметой 12-го Лунного дня принято считать разбитую посуду или пролитую жидкость. Нужно обратить внимание на все эти знаки, они говорят о неправильности  пути по которому вы идете. В 12-й Лунный день нам могут приснится вещие сны, но главное нужно уметь их правильно интерпретировать.
#RELATION
Очень хороший день для заключения брака, но в одном лишь случае если брак основан на любви.  В 12-е лунные сутки можно встретить свою вторую половинку. Это день эмоций и чувств, который наполнен романтическим настроением.
#HOME
12-й Лунный день очень плохо подходит для разных бытовых дел. Так что старайтесь делать только ту работу которая действительно необходима. Это день  внутренней работы над самим собой.
#HEALTH
Очень хорошее время для проведения омолаживающих и косметических процедур. Под ударом сегодня сердца и нервная систем, поэтому им необходимо уделить особое внимание. Не стоит сегодня брать большую физическую нагрузку, заниматься бегом.
#BUSINESS
Двенадцатые лунные сутки плохо подходит для любых ваших начинаний. Все важные мероприятия для вас стоит отложить.  Большинство людей сегодня проявляют нервозность, непостоянство, обидчивость и нежелание идти на компромисс, а так же болезненную эмоциональность.","#MAIN
12 лунный день. В этот день необходимо проявлять милосердие и сострадание. Тот, кто этого не сделает, никогда не дождется милости от других.
"
13,13,-,"Змея, Колесо","#MAIN
В 13-е Лунные сутки  космические вибрации, очень благоприятно сказываются на всей творческой энергии. Занимайтесь сегодня тем что близко вашей душе, и у вас получатся поистине божественные творения. Прислушайтесь к советам которые дают другие люди, и вы сможете чему то у них научится. Сегодняшний период очень хорош для работы в группе. Все что связано с обучением будет закладывать прочный фундамент на будущее. 13-й Лунный день дает большой шанс для работы над ошибками, и их исправления. Сегодня могут повторяться разные жизненные ситуации, которые вы уже проходили. Если в ближнем вашем окружении есть люди,  после общения с которыми, у вас появляются нехорошие ощущения, чувства собственной неполноценности,  болит голова,  вы начинаете впадать в депрессию, это как раз идеальный момент чтобы бы разорвать всяческие отношения с этими людьми, и двигаться дальше. Это день предсказаний и гаданий. Предсказания, получившие в этот день, сильно могут изменить вашу судьбу. Так же это день восприятия информации, которая в будущем вам обязательно пригодится. Сегодня очень хорошо приобретать талисманы и разные обереги, они будут иметь особую связь с вами. В 13-е сутки сны считаются вещими, но их очень сложно понять и разгадать.
#RELATION
В тринадцатый  день Луны нужно воздержатся от новых  контактов и знакомств. Этот день также не подходит для свиданий, так как настроение  не благоприятствует романтической обстановке.
#HOME
В этот мистический и магический день очень хорошо печь хлеб.  Это замечательное время для крупных бытовых дел и ремонта дома или квартиры.
#HEALTH
13-й день Луны отлично подходит для всех видов омоложения и лечения  волос, кожи. Лекарства, крема и мази будут действовать намного сильнее, чем в другие дни.  День хорош для очистительных процедур, самовосстановления и самолечения. Очень полезны сегодня водные процедуры, баня, сауна, обливание холодной водой.
#BUSINESS
Все начинания сегодня неблагоприятны. Лучше посвятить это время работой над ошибками, ревизией и пересмотром старых дел.  Самый лучший день для любого вида анализа, коррекции и исправления, а также получения новой информации.","#MAIN
13 лунный день. В этот день идут процессы омоложения организма. Поэтому очень хорошо заняться собой."
14,14,-,Труба,"#MAIN
Четырнадцатые лунные сутки очень активны, но так же и опасны одновременно. Их опасность может заключается в том, что в этот день может быть заложен некий психологический фундамент, который ведет к саморазрушению. В такой день внутренний конфликт с самим собой может стать совершенно непереносимым, и даже  мелкое событие стать  «последней каплей».  У людей,  которые живут без цели, и определенного смысла жизни может наступить депрессия, потому как нету выхода Лунной энергии. В связи с этим именно  в 14-й Лунный день  наблюдается мания преследования, а по статистике совершается много самоубийств. В такой день хорошо подходит совершенствовать свое мастерство и профессионализм в каком – либо деле. Прислушайтесь к рекомендациям и советам окружающих людей. Прислушайтесь к своей внутренней интуиции, зову души – ведь сегодня ее тихий шепот, очень  громок. Наше внутреннее подсознание видит все возможные и не только возможные, варианты событий. 14-й Лунный день способствует сильному укреплению семьи и их связей, взаимопониманию между младшими и старшими поколениями.  Кроме того, атмосфера этого дня способствует общению на всех уровнях с коллегами и друзьями, а также  партнерами и начальниками.
#RELATION
Часто в такой день люди бывают, подвержены депрессии и апатии, потому как Лунная энергия в 14-е лунные сутки сильная, а человек не способен ее реализовать и воспользоваться ею.
#HOME
В четырнадцатый день Луны можно заниматься любыми крупными бытовыми делами,  устроить большую стирку или генеральную уборку. Также это хороший день для любых видов ремонта и строительства. Не плохо было бы энергетически почистить свой дом и пространство.
#HEALTH
В 14-е сутки – очень хороший день для чистки кишечника и кожи. Голодание этот день будут иметь сильный целительный эффект. В этот день особо чувствительны глаза, постарайтесь не перегружать зрение. Не рекомендуется находится в пассивном состоянии, очень полезна физическая работа в любом виде.
#BUSINESS
Отличный день для  бизнесменов и карьеристов. Направьте свою энергию на решения важных дел, это очень хороший день для решения финансовых вопросов и подписания договоров. Удачный день для поездок и деловых встреч.
","#MAIN
14 лунный день. Не пропустите этот день: он исключительно удачен для начала любого важного дела. Все начатое в эти сутки с блеском удается."
15,15,-,Шакал,"#MAIN
15-е Лунные сутки являются собственно Полнолунием, и одним из важных этапов всего Лунного месяца. Сегодня Луна находится в своем апогее, пике энергетической насыщенности.  В этот день можно использовать весь резерв человеческих сил,  если у вас их куда то не хватало, сегодня обязательно хватит. Сегодня можно свернуть горы, и победить даже в самой казалось бы экстремальной ситуации, конечно же если у вас есть четкий план. 15-й Лунный день – называют периодом плотских искушений. Сегодня человека многое искушает он делается внушаемым, податливым,  поддается любым земным соблазнам. В такой день активируется внутренний змей человека, который искушает его к плотским и низменным удовольствиям, поэтому  нужно научиться побеждать себя и свою плоть, чтобы защитить свою внутреннюю чистоту, светлое начало, иначе деградация и разрушения собственного внутреннего стержня неизбежна. Главная задача пятнадцатых Лунных суток – победа над собственным эго. В такой Лунный день можно стать свидетелем претензий и ссор. Происходит это потому что  нам дается громадная Лунная энергия, но ее очень трудно взять под контроль. Только когда у человека имеется всепоглощающая цель, лишь в этом случае он может разумно контролировать эту мощную энергию, которую подарила нам Луна. Многие люди винят полнолуние в том, что дела идут плохо, наперекосяк, но это полное заблуждение. Энергия Луны в данный период многократно усиливает то, что мы сами посеяли, и нам лишь приходится пожинать плоды. Сна сегодня могут быть вещими, но их трудно разгадать.
#RELATION
Романтические свидания и встречи лучше перенести на другой период, это сложный день во всем Лунном цикле и романтике место вряд ли найдется. Люди легко поддаются провокациям, не держат себя в руках.
#HOME
Сегодня нужно заниматься только любимой работой, если уборка дома поднимает вам настроение, значит занимайтесь ею. Любая любимая работа сегодня только приветствуется.
#HEALTH
В 15 Лунный день — хорошо проводить голодания и диеты,  переедать сегодня не рекомендуется. Сегодня уязвимы кишечник, поджелудочная железа, поэтому люди страдающие диабетом должны уделить особое внимание своему здоровью. Не нужно допускать кровопотерю, и также не рекомендуются хирургические операции.
#BUSINESS
В пятнадцатый Лунный день не нужно начинать никаких важных дел. По возможности перенести все финансовые дела и важные переговоры, на другой день, и не слушать никаких советчиков.","#MAIN
15 лунный день. Сатанинский день. Есть опасность поддаться любым соблазнам, стать внушаемым, ленивым, податливым для вредных влияний."
16,16,-,"Лестница в небо, Бабочка","#MAIN
Физическое и астральное тело сегодня находятся в равновесии. Чтобы не случилось, постарайтесь сегодня сохранять гармонию и не нарушать свой внутренний душевный комфорт. Считается, что бесцеремонное поведение должны полностью быть исключены в 16-е Лунные сутки. Это день — истинной веры в Бога и чистоты.  В древности в этот день посвящали проповедников. День очень хорошо подходит для крещения ребенка, ну  или собственного крещения, если вас не крестили. Самый подходящий день для венчания,  удочерения или усыновления приемных детей. Активный образ сегодня не приветствуются, поэтому избегайте излишнего  беспокойства или суматохи. 16-й Лунный день хорош для написания стихов, творчества, вязания  и т.д. Очень удачны будут поездки и путешествия. День отлично подходит для принятия серьезных решений, которые изменят всю вашу жизнь. Если вы прибываете на нелюбимой работе, самое время ее покинуть.
#RELATION
Сегодня прекрасный день для романтических встреч и свиданий, проведите свое свидание в тишине подальше от посторонних глаз. День очень хорошо подходит для бракосочетаний.
#HOME
Шестнадцатые Лунные сутки хорошо подходят для любых домашних дел как глобальных, так и мелких. Очень благоприятен для продажи и покупки дорогого имущества.
#HEALTH
16 Лунный день – считается днем обновления крови. Могут появится всевозможные обострения связанные с заболеванием крови. Негативному воздействию сегодня подвержена селезенка. Не рекомендуются хирургические операции. Опасна кровопотеря. Очень эффективны сегодня вегетарианские диеты.
#BUSINESS
Сегодня — время отдыха. Важные и серьезные дела лучше перенести на другой день, договоры не рекомендуется заключать. Финансовые дела тоже лучше перенести.","#MAIN
16 лунный день. Энергетика этих лунных суток очень гармонична. Это чистый, светлый день, очень спокойный. Ни в коем случае нельзя нарушать это спокойствие."
17,17,-,Гроздь винограда,"#MAIN
Символом 17-х Лунных суток является виноград, а он в свою очередь олицетворяет символ плодородия. В восточной традиции этот Лунный день посвящен Шакти – это богиня женственности. Это одни из прекрасных дней для зачатия ребенка. В этот день происходит преобразование женской энергии. Семнадцатый Лунный день очень хорошо подходит для застолий и праздников, и разнообразных увеселительных мероприятий. Сегодня люди становятся очень любвеобильными и эмоциональными. Это день  гармонии, любви, жизнелюбия и веселья.   Излучайте энергию радости и праздника и к вам обязательно притянутся успех, удача и везение. Потому как,  что мы излучаем, то обычно и притягиваем.
#RELATION
Сегодня очень подходящий день для бракосочетаний, есть давняя примета, венчанные в этот день будут жить долго и счастливо как в сказке. Прекрасный день для романтических свиданий, велика вероятность влюбится с первого взгляда.
#HOME
В 17-й Лунный день не рекомендуется работать, это время не подходит для стирки и уборки, сегодня время праздника.
#HEALTH
Сегодня уязвимы кожа, глаза, эндокринная и нервная системы, почки и поясница. Семнадцатые Лунные сутки  хорошо подходят для водолечения, очищения от шлаков, самолечения и самовосстановления голодания. Сегодня смело можно следовать учениям нетрадиционной медицины, а так же лечиться у экстрасенсов.
#BUSINESS
Прекрасный день для всех видов финансовых дел, но очень важные дела и вопросы рекомендуется отложить. Серьезные переговоры в 17-й Лунный день скорей всего не получатся. Энергетика этого Лунного дня очень свободна, что никак не благоприятствует рабочим делам.","#MAIN
17 лунный день. В этот день мы с легкостью обретаем внутреннюю свободу. Можно дать себе волю, раскрепоститься и всласть повеселиться."
18,18,-,"Обезьяна, Зеркало ","#MAIN
Восемнадцатые Лунные сутки являются пассивным днем, сегодня его можно символически назвать Лунным зеркалом. Энергия Луны отражает все что у нас находится внутри, идет как бы разворачивание нашего внутреннего «эго» или «я». Происходящие события сегодня,  могут показать нам, то что окружающая вокруг нас действительность является зеркальным отпечатком  нашей сущности, всех наших поступков и помыслов. Это говорит о том что каждый из нас имеет свое зеркало, один-ровное и чистое, другой — кривое, как будто в глаза попали осколки, и поэтому он все видит в искаженном виде. Проявленная сегодня  наблюдательность поможет вам узнать, как обстоят дела на данный момент, покажет вам зеркальное отражение вашего собственного мира. Если вас кто нибудь обидел или высказал дурное мнение в вашу сторону, то не нужно обижаться на этого человека.  Вселенная через него показывает вам, на какой аспект жизни нужно обратить внимание, чтобы стало лучше. И напротив, вы весь день слышите слова благодарности и почета, это говорит о том что вы правильно движетесь, окружающий мир вас любит, и у вас чистое и ровное зеркало. В 18-й Лунный день нужно увидеть все намеки которые дает нам Вселенная, правильно  понять их, и трезво оценить всю ситуацию, а по завершению сделать соответствующие выводы. А следующим  шагом в вашем развитии, должно быть устранение этого недостатка. В целом 18 Лунные сутки нужно рассматривать как преподнесенный урок именно вам, и вы обязательно должны его усвоить, иначе он будет повторятся каждый Лунный месяц. Сны, в этот день бывают вещими, и несут много ценной и полезной информации, главное их нужно правильно понять.
#RELATION
Восемнадцатый Лунный день совсем не подходит для романтических свиданий и отношений. Случайные знакомства в этот день в будущем могут быть очень перспективными.
#HOME
Это прекрасный день для самых различных дел по хозяйству и дому, не повредит и тяжелая физическая работа.
#HEALTH
В восемнадцатые Лунные сутки голодание приобретает особые целительные свойства. Сегодня очень полезно прочистить толстый и тонкий кишечник, провести оздоровительный массаж, омолаживающие и водные процедуры. Благоприятно скажется на вашем здоровье посещение сауны или бани. В этот день особо уязвимы почки и поясница.
#BUSINESS
В 18-й Лунный день лучше не делать никаких шагов в финансовых вопросах. В других аспектах бизнеса, день тоже не предсказуемый, важные дела лучше отложить на другой день.","#MAIN
18 лунный день. В эти лунные сутки окружающая действительность будет, как зеркало, демонстрировать нашу истинную сущность."
19,19,-,"Сеть, Паук ","#MAIN
Энергетика дня сегодня очень тяжелая. В  19-е Лунные сутки  просыпаются энергетические вампиры, которые ждут свою добычу и не прочь перекусить вашей энергией. Это день темной магии, ее влияние очень неблагоприятное и сильное. Нужно избегать заброшенных темных помещений, углов, завалов. Если вы почувствовали себя нехорошо в каком то доме или помещении, лучше немедленно удалится из этого места. Не нужно общаться с неприятными и незнакомыми людьми, а также знакомится с новыми людьми. В девятнадцатый Лунный день у многих людей пробуждается гордыня, зависть и злоба, все низменные чувства и инстинкты, дремлющие в нас под слоем нравственности, морали и воспитания.  Накатывается депрессия, обостряются страхи, и неуверенность в себе. В такой день очень велика вероятность обмана и самообмана. Вы легко можете поверить и убедить в себя в том чего на самом деле не существует. 19-й день Луны идеален для очищения. Сегодня можно очистить практически все: мысли, душу, тела, энергетику дома и т.д. Этот день считается идеальным для избавления от старых обид, осевших у нас в сознании.  Ведь мы имеем невидимые энергетические нити с каждым человеком, которого когда то встречали. И чем больше и сильнее обида, тем сильнее вы связаны с ним энергетической связью. И по этим связям уходит наша жизненная энергия, а она так нужна каждому человеку, для развития и счастливой жизни. Сны сегодня несут ценную информацию из будущих событий нашей жизни.
#RELATION
Это неподходящее время для романтических встреч и свиданий, 19-й Лунный день — очень сложный, поэтому лучше перенести их на другой день. Сегодня очень легко ошибиться и обманутся и совершенно не подходит для знакомств.
#HOME
Сегодня было бы очень хорошо провести энергетическую чистку и генеральную уборку дома, разгрести накопившиеся завалы, выкинуть старые и ненужные вещи, убраться там где очень редко убераетесь. Это обновит энергетику дома и принесет свежие и чистые вибрации.
#HEALTH
В 19-й Лунный день хорошо бы заняться чисткой организма от накопившихся шлаков, сесть на диету, или начать делать новый цикл физических упражнений.  Уязвимы сегодня сигмовидная кишка, аппендикс, поэтому не рекомендуется на них проводить хирургические операции.
#BUSINESS
Для бизнеса и карьеры- это нейтральный день. Не стоит только заниматься денежными делами, так как велика вероятность самообмана и сегодня легко стать жертвой мошенничества. Не рекомендуется в этот день возвращать долги, так как велик риск залезть в новые. Для работы в творческом направлении — это прекрасный день.","#MAIN
19 лунный день. Сатанинский день. В это время миром правит очень тяжелая и неблагоприятная для человека энергетика. Очень велика опасность поддаться дурману, наваждению."
20,20,-,"Орел, Птица высокого полета","#MAIN
Энергетика 20-х Лунных суток веет таинственностью. Это мистический день, так же его называют днем птичьего полета. У каждого из нас появляется шанс, чтобы со стороны, с высока взглянуть на свою жизнь. Сегодняшний день неплохо было бы посвятить осознанию наших внутренних связей,   между событиями, людьми,  природой и предметами которые нам дороги. Нам следует понять, что в нашем мире ничего случайного не происходит. Все очень закономерно и вытекает одно из другого. В древности великие мудрецы говорили: «нужно глядеть не на вещи, а увидеть связи между ними, тогда вам приоткроется великая истина». В 20-й Лунный день энергия Луны дает нам шанс, направить свою энергию на преобразования и изменения себя. Этот день поможет услышать внутренний голос души, чтобы обрести свой внутренний стержень, укрепить свои принципы, и обрести самих себя. Прекрасный день для медитации, духовного преображения, познания законов Вселенной, постижения собственного пути и смысла жизни. Люди которые умеют читать и видеть знаки природы,  сегодня  могут увидеть знамение.  Очень полезно получить моральное и эстетическое удовольствие от наблюдения за различными природными творениями.
#RELATION
Прекрасное время для романтических и любовных встреч. В такой день люди очень легко понимают друг друга. Энергетика этого дня располагает к спокойному и позитивному времяпровождению. Благоприятный день для бракосочетаний.
#HOME
В эти сутки по возможности следует отказаться от разных бытовых работ. рекомендуется выполнять лишь неотложные дела. Очень хороший день для высадки деревьев и многолетних растений.  Хороший день для начала строительства дома.
#HEALTH
В 20-й Лунный день нужно взять под контроль свои эмоции. Нужно внимательно отнестись к своему зрению и желудку. Уязвимы сегодня нервная система, желудок, глаза. Очень хороший день для любых посещений бани и сауны.
#BUSINESS
Это прекрасный день для начала любого дела и решения всех денежных вопросов. Он очень хорошо подходит для коллективной работы, активных действий, карьеры и определения своей цели.","#MAIN
20 лунный день. Символ: орел. Энергетика этих лунных суток дает нам силу для духовного роста. Не сомневайтесь, берите барьер, который возник перед вами, — этот день создан для победы над собой!"
21,21,-,"Колесница, табун Лошадей","#MAIN
Жизнь — это движения, такой девиз звучит в двадцать первый день Луны. Энергетика велика и она заряжает всех на движения, что очень благоприятствует для реализации любого дела. Сегодня с легкостью можно выполнить двойную норму работы, и при этом совершенно не почувствовать усталости. Также это день коллективной работы, люди которые объединят свои усилия, добьются очень высоких результатов. В эзотерике двадцать первый Лунный день считается днем интуиции. Необходимо серьезна отнестись к своему зову души и внимательно слушать его. Если вы почувствовали необходимость приобрести  лотерейный билет, то обязательно нужно купить его, велика вероятность что он может оказаться выигрышным.
#RELATION
Очень положительный день для романтических свиданий и встреч. Люди настроены на активный отдых и дружескую атмосферу. Прекрасный день для бракосочетаний, свадьба в этот день будет наполнена жизнерадостными событиями и запомнится на всю жизнь.
#HOME
Этот день очень хорошо подходит для реализации любых дел по дому, которые требует большой физической нагрузки. Так же сегодня идеальное время для заготовки продуктов на зиму. В такой день можно заняться тем что вы откладывали в долгий ящик, боялись начать, как говорится: «Глаза боятся, руки делают», так вот сегодня руки сделают любую тяжелую работу.
#HEALTH
Отличный день для физической нагрузки, занятия спортом и физкультурой. Если не получается заняться этим, то хотя бы сделайте пешую прогулку — это очень положительно скажется на вашем здоровье. Уязвимы сегодня: брюшная полость и тазобедренные суставы.
#BUSINESS
Это очень хороший день для бизнеса и карьеры, сегодня прекрасно будут идти все виды денежных дел. Коллективная работа покажет  невиданные результаты. Это лучший день для людей которые ищут себе работу. Тот кто сегодня расплатится со всеми своими долгами — притянет к себе денежную удачу.","#MAIN
21 лунный день. Энергетика этих лунных суток пробуждает в человеке активное начало. День придает нам необыкновенную храбрость."
22,22,-,Слон,"#MAIN
В 22-й Лунный день благоприятно постигать тайные знания, сегодня могут посетить гениальные решения казалось бы тупиковых проблем. Наше виденье расширяется, и у нас появляются способности взглянуть на одно и тоже решения, совершенно с разных сторон. Наш мозг сегодня очень активен, и мы можем читать между строк. Двадцать второй день Луны лучше полностью посвятить своему самообразованию. Идеальное время для посещения библиотеки, повышения уровня своих знаний, творческого и духовного обновления. Сны, сегодня могут быть вещими. Если вам приснился ключ или книга – это благоприятный знак подтверждающий, что вы на правильном пути и впереди у вас большие перемены к лучшему.
#RELATION
Сегодня хороший день для встреч и романтических свиданий. Для бракосочетаний день не подходит, потому как не благоприятствует началу серьезных дел.
#HOME
В 22-й день Луны, можно заниматься любыми делами по дому. Но помните что это день творческой мысли, поэтому и дела лучше направить в этом же русле. Сегодня прекрасное время для перестановок в доме, смены интерьера. Так же сегодня хорошо делать любые заготовки на зиму.
#HEALTH
Сегодня происходит энергетическая перестройка организма, которая требует огромных затрат, поэтому общий фон, не очень благоприятен для здоровья. Не нужно допускать физических нагрузок. Уязвимы: крестец и нижняя часть позвоночника.
#BUSINESS
Эти Лунные сутки благоприятствуют путешественникам и тем кто отправился в командировку. Очень хороший день для любой творческой работы, и самообразования.
","#MAIN
22 лунный день. День мудрости, постижения новых знаний. Особенно сильны умственные способности. Любые знания легко усваиваются."
23,23,-,Крокодил,"#MAIN
Энергетически день очень насыщен, но не каждому дано освоить эту энергию. Сегодня активируются энергетические вампиры, а люди с низким энерго — обменом становятся нервными и конфликтными. 23 Лунный день тестирует энергетические каналы человека, если они забиты, вы это сразу же почувствуете. Но если сегодня вам дышится легко и вы чувствуете себя прекрасно, значит ваши энергетические чакры работают и вы на верном пути. В обратном случае вам стоит сбавить ритм жизни и задуматься, правильным ли курсом вы движетесь, свои ли цели приследуете. Время сегодня отличается дуальностью, для одних прекрасный солнечный день насыщенный яркими красками и событиями. Для других угрюмый серый фон с непреодолимыми задачами и нервной обстановкой. Человек сегодня выступает в качестве линзы через которую пропускают луч света, и то что имеется на выходе индивидуально для каждого человека. Сны сегодня могут приснится вещии, но их сложно расшифровать
#RELATION
Сегодня хороший день для того чтобы увидеть вашего партнера без маски, только не стоит забывать что и вы сегодня без маски.
#HOME
Двадцать третьи Лунные сутки хорошо подходят для любых домашних дел которые требуют большую физическую нагрузку. Хороший день для завершения чего то начатого, но руки ни как не доходили, сегодня то время чтобы все завершить.
#HEALTH
Это хороший день для самолечения и целительства. Сегодня не рекомендуются хирургические операции, за исключением срочных случаев. Уязвим  позвоночник. Будет полезным однодневное голодание, а так же любые процедуры направленные на очищения организма от шлаков.
#BUSINESS
Это неблагоприятный день для бизнеса и карьеры. Постарайтесь не делать ничего важного. В такой день хорошо проводить закрытие предприятия или отказываться от финансовых схем которые приносят убытки.
","#MAIN
23 лунный день. Энергетика этих суток тяжелая и темная, и притом очень мощная. Она провоцирует человека на агрессию и насилие. Хочется все поломать и разрушить."
24,24,-,Медведь,"#MAIN
В эзотерике — это период созидания нового и разрушения старого. Прекрасный день для  энергоемких и трудных дел, которые требуют тяжелого умственного или физического труда. Луна в 24-й день снабжает нас большим количеством энергии, но к сожалению, не многие способны справиться с ней, из-за чего у многих возникает тяга к экстремальным ситуациям,  авантюрам и желаниям «выпендрится» показать себя. Также, большой энергетический избыток можно снять спортивными упражнениями. В целом энергетика дня дружественная, день кажется радостным и тихим, настроение праздничное, а люди благодушные. Если вы относите себя к пассивным людям, либо в настоящее время это вам необходимо,  то можно посвятить эти Лунные сутки сну или отдыху.
#RELATION
Сегодня хороший день для романтических свиданий, и они как правило проходят на высоте. Сегодня очень высокий сексуальный потенциал, как у мужчин так и у женщин. Для зачатия ребенка, этот день считается одним из лучших во всем Лунном цикле.
#HOME
Сегодня приветствуется любая работа по дому. 24-й день Луны считается очень благоприятным для начало строительства дома, закладки фундамента. Издавна в это день, начинали строительства храмов.
#HEALTH
Сегодня организм очень хорошо справляется с тяжелыми физическими нагрузками. Благоприятный день для занятия активными видами спорта, йогой,  силовыми практиками. Если чувствуется физическая слабость , то она легко лечится сном и отдыхом. Секс сегодня очень полезен. Уязвимы прямая кишка, кожа, печень, поэтому рекомендуется соблюдать диету и здоровый сон.
#BUSINESS
Двадцать четвертые Лунные сутки очень удачны для любых дел, как новых, так и для завершения начатых. Новые дела начатые сегодня, в будущем принесут вам деньги и успех. Проявите активность и вы свернете горы. Очень благоприятный день, для решения всех денежных вопросов.
","#MAIN
24 лунный день. В эти лунные сутки пробуждаются силы природы, благоприятствующие созиданию. И человек просыпается от спячки, в нем пробуждается сила."
25,25,-,"Раковина, Черепаха ","#MAIN
В эзотерике этот день, приоткрывает окно в мир тонких энергий, у людей с даром провидцев открывается канал телепатии, ясновидения. Можно подсмотреть и узнать свое будущее. Сегодня день предсказаний и пророчеств. Все виды гаданий, будут предсказывать точные события из будущего. У тех кто долгое время практикует  медитации, сегодня возможен приход «Сиддхи»,  в йоге это называют побочным даром сверхъестественных способностей (ясновидения, телепатия, совершенная интуиция, осознанность). Активные действия в 25-й Лунный день не принесут положительного результата, но запросто  могут вывести из равновесия и душевного покоя, лучше этот день провести спокойно и посвятить его себе. Сны в 25-е Лунные сутки очень часто бывают вещими и достаточно символичными, но нужно уметь грамотно их истолковать. #RELATION
Сегодня нейтральный день для романтических свиданий и отношений, если вы неразговорчивы, то лучше перенесите свидание на другой день, а то при встречи будете все время молчать.
#HOME
Сегодня не благоприятный день для серьезных дел по дому. Ремонт лучше перенести, чтобы потом не переделывать, сегодня мало что удается, и скорей это приведет к эмоциональному срыву, чем к положительному результату.
#HEALTH
В 25-й день Луны не рекомендуются  физические нагрузки, а также откажитесь от тяжелой пищи. Здоровье хорошо восстанавливает дневной сон, конечно же если был полноценный ночной. Уязвимы сегодня уши, голова, органы чувств.  Самый лучший день для занятия йогой.
#BUSINESS
Для бизнеса и карьеры это нейтральный день, люди в 25-й день Луны как правило ленивы,  апатичны и невнимательны. Все денежные дела лучше перенести, так как велика вероятность совершить ошибку.
","#MAIN
25 лунный день. День пассивности. Провести его желательно в покое и одиночестве. Не надо начинать ничего нового, но следует завершить уже начатое."
